Санкт-Петербург;Юрия Гагарина пр., д. 34, кор. 2;С.-Петербург, пр. Юрия Гагарина, д. 34, кор. 2;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Юрия Гагарина ул., д. 1В (Волхов);ЛO, г. Волхов, ул. Юрия Гагарина, д. 1В;"Режим работы  с 10.00 до 22.00;";;Лента;Гипермаркет
Санкт-Петербург;25 Октября пр., д. 42д (Гатчина);ЛО, г. Гатчина, пр. 25 Октября, д. 42д;"Режим работы  с 8 до 23 часов;";;Лента;Супермаркет
Санкт-Петербург;Автовская ул., д. 15, лит. A;С.-Петербург, ул. Автовская, д. 15, лит. A;"Режим работы  с 8 до 23 часов;";;Лента;Супермаркет
Санкт-Петербург;Богатырский пр., д. 35А, кор. 1;С.-Петербург, Богатырский пр., д. 35А, кор. 1;"Режим работы  08:00-23:00;";;Лента;Супермаркет
Санкт-Петербург;Героев пр., д. 78 (Сосновый бор);ЛО, г. Сосновый бор, пр. Героев, д. 78;"Режим работы  8.00-23.00;";;Лента;Супермаркет
Санкт-Петербург;Героев пр., д. 14А (Кириши);ЛО, г. Кириши, пр. Героев, д. 14А;"Режим работы  08:00-23:00;";;Лента;Супермаркет
Санкт-Петербург;Гражданский пр., д. 111а;;"Режим работы  с 8:00&nbsp;";;Лента;Супермаркет
Санкт-Петербург;Левашовский пр., д. 21 А;С.-Петербург, Левашовский пр., д. 21 А;"Режим работы  с 8 до 24 часов;";;Лента;Супермаркет
Санкт-Петербург;Малый пр. ВО, д. 54;Санкт-Петербург, Малый пр. ВО, д. 54;"Режим работы  с 08:00 до 23:00;";;Лента;Супермаркет
Санкт-Петербург;Михайловская ул., д. 40/7, стр. 1 (Ломоносов);ЛО, г. Ломоносов, ул. Михайловская, д. 40/7, стр. 1;"Режим работы  08:00-23:00;";;Лента;Супермаркет
Санкт-Петербург;Новгородская ул., д. 23, лит. А;С.-Петербург, Новгородская ул., д. 23, лит. А;"Режим работы  8.00-24.00;";;Лента;Супермаркет
Санкт-Петербург;Привокзальная пл., д. 3 Б (Мурино);ЛО, Всеволожский р-н, пос. Мурино, Привокзальная пл., д. 3 Б;"Режим работы  с 8 до 24 часов;";;Лента;Супермаркет
Санкт-Петербург;Санкт-Петербургский пр., д. 60 (Петергоф);;"Режим работы  08:00-23:00;";;Лента;Супермаркет
Санкт-Петербург;Уральская ул., д. 4;С.-Петербург, Уральская ул., д. 4;"Режим работы  с 8 до 24 часов;";;Лента;Супермаркет
Санкт-Петербург;Урицкого пр., д. 77, корп. 3 (Луга);ЛО, г. Луга, пр. Урицкого, д. 77, корп. 3;"Режим работы  8.00-23.00;";;Лента;Супермаркет
Санкт-Петербург;Шувалова ул., д. 1 (Мурино);ЛО, Всеволожский р-н, пос. Мурино, ул. Шувалова, д. 1;"Режим работы  с 8 до 24 часов;";;Лента;Супермаркет
Санкт-Петербург;Шуваловский пр., д. 40, кор. 2;Шуваловский пр., д. 40, кор. 2;"Режим работы  08:00-23:00;";;Лента;Супермаркет
Санкт-Петербург;Юрия Гагарина пр., д. 71 А;С.-Петербург, пр. Юрия Гагарина, д. 71 А;"Режим работы  с 8 до 24 часов;";;Лента;Супермаркет
Альметьевск;Ленина ул., д. 132;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Армавир;Песчаная ул., д. 40/1;;;;Лента;Гипермаркет
Балаково;Комарова ул., д. 117;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Балашиха;Пригородная ул., стр. 90;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Балашиха;Энтузиастов ш., д. 80;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Балашиха;Гагарина ул., д. 7/4;;;;Лента;Супермаркет
Балашиха;Носовихинское ш., д. 15;;;;Лента;Супермаркет
Балашиха;Свердлова ул., д. 20, стр. 1;;;;Лента;Супермаркет
