г. Москва;" ул. Новокуркинское шоссе, д. 1 , ТЦ ""Парус"", 2й этаж";"ст. метро Планерная,1й вагон из центра, автобус 268 до ост.""Больница"", (ориентир ТЦ ""Парус"") пешком 500м.
ст. метро Планерная последний вагон из центра, маршрутные такси 268,68,189,596,980 до остановки ТЦ""Парус"". 
Ст. метро ""Речной вокзал"" - маршрутные такси: 662,182, автобусы: 343,443 до остановки ""Лавочкина"", далее пешком 5-8 мин. в сторону ЦР больницы.";Режим работы: 10:00-22:00;Телефон: 8 (495) 230-01-90(91);Дочкисыночки;
г. Москва;" ул. Ореховый бульвар, 22 А, ТЦ ""Облака"", 3 этаж";"м.Домодедовская, выход из 1-го вагона из центра, 7 мин.пешком, м.Зябликово, выход - последний вагон из центра, 7 мин.пешком
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-22:00;Телефон: 8 (499) 272-44-07, 8 (499) 272-44-08;Дочкисыночки;
г. Москва; ул. Профсоюзная, д. 152, кор.2 ;от ст.метро Теплый Стан: последний вагон из центра по переходу до конца, направо вверх по лестнице, пройти 50 метров и повернуть налево. Ориентир - кинотеатр «Аврора». С правой стороны будет здание - магазин «Дочки-Сыночки».;Режим работы: 9:00-21:00;Телефон: (495) 338-48-25;Дочкисыночки;
г. Москва;" ул. Профсоюзная, д.109, ТЦ ""Виктория""";"М. Коньково, последний вагон из центра,выход на улицу направо,
ТЦ ""Виктория"".
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-21:00;Телефон: 8 (495) 429-97-77;Дочкисыночки;
г. Москва;" ул. Раменки, д. 3,ТЦ ""Перекресток"", 1 этаж";"от м. Проспект Вернадского Маршрутное такси №300, 494 остановка Перекресток ( Раменки )
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-21:00;Телефон: (495)780-01-45/46;Дочкисыночки;
г. Москва; ул. Свободы, д. 61, к. 1;Станция метро Сходненская - первый вагон из центра.Магазин находится в пешей доступности от метро.;Режим работы: 10:00-21:00;Телефон: (499) 497-93-94, (499) 492-64-11;Дочкисыночки;
г. Москва; ул. Староватутинский проезд, д.14, ТЦ «Клен», 5 этаж;"м.Бабушкинская, пересечение Енисейской улицы со Староватутинским проездом. На этом перекрестке ТЦ"" Клен""
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-22:00;Телефон: 8 (499) 948-28-02/03 ;Дочкисыночки;
г. Москва; ул. Туристская д.15, 1 этаж и цокольный;от ст.м.Сходненская и ст.м. Планерная;Режим работы: 10:00-21:00 ;Телефон: 8(499)968-94-42/43;Дочкисыночки;
г. Москва;" ул. Уральская, д. 25, ТЦ ""Радонеж"", 2 этаж";"М. Щелковская, 1й вагон из центра, выход к Автовокзалу. Автобусы: 257, 223. Троллейбус: 23 до остановки ""Уральская,25""";Режим работы: с 10:00 до 21:00;Телефон: 8 (495) 460-83-91;Дочкисыночки;
г. Москва; ул.Первомайская, д.106, этаж 2;от ст.метро Первомайская 5-7 мин.пешком по ул.Первомайская;Режим работы: 10:00 - 21:00;Телефон: 8(495)465-11-06;Дочкисыночки;
