Москва;г. Москва  ул.Сокольническая площадь д.9;Ашан;;;Мой АШАН
Москва;г. Москва, ул. Вавилова, д.72/13;Ашан;;;Мой АШАН
Москва;г. Москва, Бакунинская, д.38-42, стр.1;Ашан;;;Мой АШАН
Москва; г. Москва, ул. Новосущевская, д.15;Ашан;;;Мой АШАН
Барнаул;" 656006, г. Барнаул. ул. Власихинская, 65, ТЦ ""Волна""";Ашан; Ежедневно с 7:30 до 22:00;8 (3852) 28 52 88;АШАН
Барнаул; 656031, г. Барнаул, ул. Строителей 117;Ашан; Ежедневно с 7:30 до 22:00;8 (3852) 28 52 88;АШАН
Санкт-Петербург;192 007 г. Санкт-Петербург, ул.Боровая, 47;Ашан;Ежедневно с 8:30 до 23:00;8 800 700 5 800;АШАН
Санкт-Петербург;" 188680 Ленинградская область, Всеволожский район, Мурманское шоссе, 12 км, ТЦ ""Мега""";Ашан;;8 800 700 5 800  Факс (812) 448 60 26;АШАН
Санкт-Петербург; Пулковское шоссе, 25, корп 1. Торговый центр «Лето»;Ашан;;8 800 700 5 800;АШАН
Санкт-Петербург; г. Санкт-Петербург, пр-т Космонавтов, д.14, ТРЦ «Радуга»;Ашан; Ежедневно с 8:30 до 22:00;8 800 700 5 800;АШАН
Санкт-Петербург;" 188660 Ленинградская область, Всеволожский район, Западнее поселок Бугры, пересечение КАД и автодороги Санкт-Петербург-Скотное, ТЦ ""Мега""";Ашан; Пн-Чт, Вс: с 8:30 до 22:00  Пт-Сб: с 8:30 до 23:00;8 800 700 5 800;АШАН
Санкт-Петербург;"г. Санкт-Петербург Проспект Культуры, 41А,ТЦ ""Северный Молл""";Ашан;Ежедневно с 8:30 до 22:00;8 800 700 5 800;АШАН
Санкт-Петербург;г. Санкт-Петербург, Торфяная дорога, д. 7;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Санкт-Петербург;г. Санкт-Петербург, ул. Седова, д. 11 А;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800 ;АШАН Сити
Санкт-Петербург;"г. Санкт-Петербург, Коломяжский пр-т, д. 19/2, ТЦ ""Капитолий""";Ашан;Ежедневно с 8.00 до 23.00;8 800 700 5 800 ;АШАН Сити
Владимир; 600026, г. Владимир, ул. Тракторная, 45А ;; Пн-Вс с 08:30 до 22:00;;Ашан;
Балашов; Саратовская обл., г. Балашов, ул. Энтузиастов, д.1;; Ежедневно с 8:30 до 22:00;(4545) 97601;Ашан;
Арзамас;;; Пн-Вс  8:30 - 22:00;8 (83147) 99-150 доб. 1005;Ашан;
Губкин; 309184, Белгородская область, г. Губкин, ул. Преображенская д.7;; Пн-Вс 8:30 - 22:00;;Ашан;
Волгоград; Волгоград, Университетский пр-т, д.107;Ашан; ежедневно с 8.30 до 22.00;8 800 700 5 800;АШАН
Волгоград;г. Волгоград, ул . Историческая, д.175;Ашан;Ежедневно с 7:00 до 22:00;;АШАН
Воронеж;"394005, Рамонский район, пос. Солнечный, ул. Парковая, 3, Сити-парк ""Град""";Ашан;Пн-Вс: 8:30-22:00;8 800 700 5 800;АШАН
Воронеж;"394005, Рамонский район, пос. Солнечный, ул. Парковая, 3, Сити-парк ""Град""";Ашан;Пн-Вс: 8:30-22:00;8 800 700 5 800;АШАН Сад
Екатеринбург;"  620043 Екатеринбург, ул. Металлургов, 87, ТЦ ""Мега""";Ашан; ;;АШАН
Екатеринбург;г. Екатеринбург, ул. Халтурина, д. 55;Ашан;ежедневно с 8.00 до 22.00;8 800 700 5 800;АШАН Сити
Иваново; г. Иваново, ул. Куконковых, д. 141;; Пн-Вс 8:30 - 22:00;8 800 700 5 800;Ашан;
Казань; 420140 г. Казань, Проспект Победы, 91;Ашан; ежедневно с 8:00 до 22:00;8 800 700 5 800;АШАН
Казань;420126 г. Казань, пр-т Ямашева, д. 46/33;Ашан;Ежедневно с 8:00 до 22:00;8 800 700 5 800;АШАН
Калуга; 141031 Калужская область,  г.Калуга, ул.Московская, д.338А, ТЦ Торговый Квартал;; Пн-Вс 8:30 - 22:00;8 800 700 5 800 , (4842) 211003;Ашан;
Краснодар;"385132, Республика Адыгея, Тахтамукайский район, аул Новая Адыгея, Тургеневское шоссе, 27, ТЦ ""Мега""";Ашан;ежедневно  с 8.30 до 22.00;8 800 700 5 800;АШАН
Краснодар;350059 Краснодар, ул. Уральская, 79;Ашан;ежедневно с 8.00 до 22.00;8 800 700 5 800;АШАН
Магнитогорск; г.Магнитогорск, проспект Карла Маркса, 172;; Ежедневно 8:00 - 22:00;;Ашан;
Ковров; 601900 Владимирская область, г.Ковров, ул. Лопатина, д. 7, ТЦКовровМолл;; Ежедневно с 8:30 до 22:00; , 8 800 700 5 800;Ашан;
Кузнецк; 442543, Пензенская обл., г..Кузнецк, ул. Белинского 2а.;; Пн-Вс 8:30 - 22:00;8841 57 4 01 07;Ашан;
Новокузнецк;" 654005, Кемеровская обл., г. Новокузнецк, ул. ДОЗ 10 А ТРЦ ""Планета""";; Ежедневно с 8.30 до 23.00;8 800 700 5 800;Ашан;
Липецк;г. Липецк, ул. Эдуарда Белана, д. 26 (1 км от памятника Героям Танкистам по Воронежской трассе);;Ежедневно c 8.30 до 22.00;;Ашан;
Ижевск;г. Ижевск, ул. Ленина, д. 136;;Ежедневно c 8:00 до 23:00;;Ашан;
Кострома; 156026  г. Кострома, ул. 2-я Волжская, д. 8  ;; Пн - Вс  c 8:30 до 22:00;8 (4942) 49 62 23;Ашан;
Н. Новгород;"Нижний Новгород, ул. Бетанкура, д.1, ТРЦ ""Седьмое небо""";Ашан;Пн-Вс 8:30 - 22:00;8 800 700 5 800;АШАН
Н. Новгород;"Нижний Новгород, ул.Родионова, д. 187В ТРЦ ""Фантастика""";Ашан;ежедневно с 8.30 до 22.00;8 800 700 5 800;АШАН
Н. Новгород;"607686 Нижегородская область, Кстовский район, д.Федяково, вдоль автомобильной дороги М-7 Волга&, ТЦ ""Мега""";Ашан;Пн-Чт 8:30-22:00 Пт-Сб 8:30-23:00 Вс 8:30-22:00;8 800 700 5 800;АШАН
Н. Новгород;"Московское шоссе, д.12, ТЦ ""РИО""";Ашан;ежедневно с 8.30 до 23.00;;АШАН Сити
Н. Новгород;" 603123, Н.Новгород ул, Южное шоссе, 2г, ТЦ ""КРЫМЪ""";Ашан; Ежедневно с 8:00 до 23:00;;АШАН Сити
Новосибирск;"630024 г. Новосибирск, ул. Ватутина, 107, ТЦ ""Мега""";Ашан;Ежедневно с 8:30 до 22:00;8 800 700 5 800;АШАН
Новосибирск;г. Новосибирск, ул. Курчатова, д. 1;Ашан;ежедневно с 8.00 до 22.00;8 800 700 5 800;АШАН Сити
Новосибирск;г. Новосибирск, ул. Фрунзе, д. 238;Ашан;ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Омск;644074, г. Омск, ул. Бульвар Архитекторов, 35;;;8 800 700 5 800;Ашан;
Пермь;614013, Пермский край г. Пермь, ул. Спешилова, д. 114, ТЦ СпешиLOVE;;;;Ашан;
Пенза; 440004 г.Пенза, ул. Центральная д.1 , ТРЦ Ритейл Парк;; Пн-Вс 8:30 - 22:00;8(8412) 210-190 доб.2222 (Пункт обслуживания клиентов);Ашан;
Ростов-на-Дону;"346720 Ростовская область, Аксайский район, г. Аксай, пр. Аксайский, 23, ТЦ ""Мега""";Ашан;Вс-Чт с 8.30 до 22.00Пт-Сб с 8.30 до 23.00;8 800 700 5 800;АШАН
Ростов-на-Дону;344002, Россия, Ростовская область, г.Ростов-на-Дону, ул. Пойменная, 1.;Ашан;Ежедневно с 8:30 до 23:00;8 800 700 5 800;АШАН
Ростов-на-Дону;346643 Ростовская область, Аксайский район, пос. Верхнетемерницкий, ул. Обсерваторная, 13;Ашан;Пн-Чт, Вс 8:00 - 22:00 Пт, Сб 8:00 - 23:00;8 800 700 5 800;АШАН
Ростов-на-Дону;г. Ростов-на-Дону, ул. Омская 2К;Ашан;Ежедневно c 8.00 до 23.00;8 800 700 5 800;АШАН Сити
Саранск;  430017, Республика Мордовия, г. Саранск, Лямбирское шоссе, д.15;;  Пн-Вс 8:30 - 22:00;;Ашан;
Старый Оскол;  309516 Белгородская область, г. Старый Оскол, проспект Алексея Угарова, д 14, Наша Радуга ТРЦ «Спутник Оскол»;;  Ежедневно с 8:30 до 22:00;  8 800 700 5 800;Ашан;
Рязань;"390013 г. Рязань, Московское шоссе, 21 (ТЦ ""Премьер"")";;Ежедневно с 8:30 до 22:00;;Ашан;
Самара;443045 г. Самара, ул. Дыбенко, д. 30;Ашан; Eжедневно с 8.30 до 22.00;8 800 700 5 800;АШАН
Самара;г. Самара, Московское ш., 18 км, д. 25д;Ашан; Ежедневно с 8-30 до 22-00;8 800 700 5 800;АШАН
Самара;г. Самара, Южное шоссе д.5;Ашан;Ежедневно c 8:30 до 22:00;;АШАН
Самара;443028, Самарская обл., г. Самара,  Московское шоссе 24 км  д.5;Ашан;Пн-Вс 8:30-23:00;8 800 700 5 800;АШАН
Симферополь;г. Симферополь, ул. Киевская, дом 189;;Ежедневно с 8:00 до 23:00;8 800 700 5 800;Ашан;
Саратов;"410076, г. Саратов, ул. Верхняя, д. 17. На территории ТК ""МОЙ НОВЫЙ""";Ашан;Ежедневно c 8:00 до 22:00;;АШАН
Саратов;г. Саратов, пл. им. Орджоникидзе Г.К., д. 1;Ашан;Ежедневно c 8:00 до 23:00;;АШАН Сити
Саратов; г.Саратов, пр-т 50 Лет Октября, ТРЦ «Тау Галерея»;Ашан; Ежедневно с 8:00 до 23:00;;АШАН Сити
Тамбов;г. Тамбов, ул. Советская, д. 194 Б;Ашан;Ежедневно c 8.30 до 22.00;;АШАН
Тольятти;г. Тольятти, Автозаводское шоссе, д. 6, молл ПАРК ХАУС;;С 8.00 до 23.00;;Ашан;
Уфа;450018, республика Башкортостан, г. Уфа, ул. Рубежная д. 174;Ашан;Ежедневно с 8:30 до 22:00;;АШАН
Уфа;" 450018, республика Башкортостан, г. Уфа,  ул. Минигали Губайдуллина д. 6, ТРЦ ""Аркада""";Ашан; Ежедневно с 8:00 до 22:00;;АШАН Сити
Челябинск;454091 г. Челябинск, ул. Труда, д. 203;;Ежедневно с 8:00 до 23:00;;Ашан;
Тюмень;г. Тюмень, ул. Дмитрия Менделеева, 1;Ашан;Ежедневно 7:00 до 23:00;;АШАН
Тюмень; 625059 г. Тюмень, ул. Тимофея Чаркова, дом 60;Ашан;;;АШАН Сити
Ульяновск;г. Ульяновск, Московское шоссе, 108;;Ежедневно с 8:30 до 22:00;;Ашан;
Ярославль;"г. Ярославль, пересечение Московского проспекта и ул. Калинина, ТРК ""Ярославский Вернисаж""";Ашан; Ежедневно c 8:30 до 22:00;8 800 7005 800;АШАН
Ярославль; 150003 г. Ярославль,  ул. Полушкина роща, д. 9, стр. 13;Ашан; Пн-Вс 8:30 - 22:00;8 800 700 5 800;Наша Радуга
