Московская обл., г. Котельники;1-ый Покровский пр-д, д. 5, ТК «МЕГА Белая Дача», 3 этаж;;Воскресенье-четверг: 10:00-23:00. Пятница, суббота: 10:00-24:00.;;Детский мир;Гипермаркет
Московская обл., г. Подольск;Б. Серпуховская ул., д. 5А, ТЦ «Центральный», 2 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Гипермаркет
Московская обл., г. Электросталь;пр-т Ленина, д. 0/10, ТРЦ «Эльград», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Московская обл., г. Орехово;-Зуево, ул. Ленина, д. 78, стр. 1, ТРЦ «Орех», 4 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Автово, Стачек пр-т., д. 99, лит. А, ТРК «Континент», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Василеостровская, Средний пр-т В.О., д. 36/40, КК «Остров», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Сенная площадь, Ефимова ул., д. 2, ТРК «Пик», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
;м. Пр.Просвещения, Ленинградская обл., Всеволожский р-н, пересечение КАД и а/д С.-Петербург - Скотное, СТЦ «МЕГА Парнас», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Барнаул;Павловский тракт, д. 251В, ТРЦ «Европа», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Санкт;-Петербург, м. Ленинский проспект, Новаторов б-р, д. 11, к. 2, ККК «Французский бульвар», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Белгород;Народный б-р, д. 82, ТД «ДМ-Белгород», 1,2, 3 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Флагман
г. Волгодонск;ул. Весенняя, д. 56, ТЦ «Волгодонск», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Брянск;ул. 3-го Интернационала, д. 8, ТРЦ «БУМ-Сити», 4 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Воронеж;Московский пр-т, д. 129/1, ТРЦ «Московский», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Нижегородская обл., г. Дзержинск;пр-т Ленина, д. 66, ТЦ «Дзержинец», 3 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Супермаркет
Волгоградская обл., г. Волжский;ул. Александрова, д. 18А, ТРЦ «Волга Молл», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Волгоград;пр-т Ленина, д. 54Б, ТРК «Европа Сити Молл», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Санкт;-Петербург, м. Улица Дыбенко, Большевиков пр-т, д. 18, к. 2, лит. А, ТК «Невский-2», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Владимир;Б. Московская ул, д. 19А, ТРК «Северная линия торговых рядов», -1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Воронеж;ул. Куколкина, д. 18,ТЦ «Галерея Чижова»;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Екатеринбург;ул. 8 Марта, д. 46, ТЦ «Гринвич», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Йошкар;-Ола, ул. Советская, д. 132, исторический «Детский Мир», 4 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Санкт;-Петербург, м. Ладожская, Индустриальный пр-т, д. 24, ТК «Июнь», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Иваново;ул. 8 марта, д. 32, ТД «Серебряный город», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Казань;пр-т Ибрагимова, д. 56, ТРК «Тандем», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Казань;пр-т Победы, д. 141, СТЦ «Мега», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Калининград;ул. Горького, д. 2, ТК «Эпицентр», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Екатеринбург;ул. Халтурина, д. 55, ТРЦ «Карнавал», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Ижевск;ул. Петрова, д. 29, ТРЦ «Петровский», 0 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Гипермаркет
г. Калуга;ул. Кирова, д. 1, ТРК «XXI век», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Кемерово;Октябрьский пр-т, д. 34, ТРЦ «Лапландия», 1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Гипермаркет
г. Кострома;Красносельское шоссе, д.1, ТЦ «Коллаж», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Краснодар;ул. Дзержинского, д. 100, ТЦ «Красная Площадь», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Курган;ул. Коли Мяготина, д. 8, ТРЦ «Гиперсити», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
;Республика Адыгея, аул Новая Адыгея, Тургеневское шоссе, 27, ТЦ «МЕГА», 1 этаж.;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Курск;ул. Карла Маркса, д. 59, ТЦ «Европа-10», 4 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Супермаркет
г. Липецк;ул. Космонавтов, д. 98, ТЦ «Ноябрьский», 2 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Гипермаркет
г. Красноярск;ул. 9 мая, д. 77, ТРЦ «Планета», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Нальчик;пр-т Кулиева, д. 2, ТЦ «Универмаг Нальчик», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
ХМАО, г. Нижневартовск;ул. Интернациональная, д. 73, ТЦ «Подсолнух», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
Республика Татарстан, г. Нижнекамск;пр-т Химиков, д. 18, ТРЦ «Сити Молл», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Нижний;Новгород, ул. Родионова, д. 187, ТЦ «Фантастика», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
;Ленинградская обл., м. Ул. Дыбенко, Мурманское шоссе, 12 км, пос. Кудрово, СТЦ «МЕГА Дыбенко», 1 этаж;;Воскресенье-Четверг: с 10:00 до 22:00. Пятница-Суббота: с 10:00 до 23:00.;;Детский мир;Флагман
г. Нижний;Новгород, д. Федяково, ТЦ «МЕГА», 2 этаж;;Пн-Чт,Вс - 10:00-22:00, Пт,Сб - 10:00-23:00.;;Детский мир;Супермаркет
г. Новокузнецк;ул. Павловского, д. 13, ТЦ «Комета», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Нижний;Новгород, Площадь Революции, д. 9, ТЦ «Республика», 5 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Флагман
г. Петрозаводск;ул. Красноармейская, д. 25, ТЦ «Кей», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Омск;б-р Архитекторов, д. 35, ТРЦ «МЕГА», 1 этаж;;Ежедневно с 10:00 до 22:00;;Детский мир;Флагман
г. Оренбург;Шарлыкское шоссе, 1, ТРК «Армада», 1 этаж;;Ежедневно с 10:00 до 22:00;;Детский мир;Гипермаркет
г. Новосибирск;ул. Немировича-Данченко, д. 142, ТРЦ «Горский», 4 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Гипермаркет
Челябинская обл., г. Магнитогорск;пр-т Карла Маркса, д. 153, ТК «Гостиный Двор», 1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Пермь;ул. Крисанова, д. 12А, ТЦ «Пирамида», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Гипермаркет
г. Пенза;ул. Суворова, д. 144А, ТЦ «Суворовский», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Пенза;пр-т Строителей, д. 49а, ТРЦ «Проспект», 2 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Гипермаркет
г. Новосибирск;ул. Ватутина, д. 107, ТЦ «МЕГА», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Свердловская обл., г. Нижний;Тагил, ул. Карла Маркса, д. 1;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Ростов;-на-Дону, пр-т Нагибина, д. 32/2, ТЦ «Горизонт», 5 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Омск;пр-т Карла Маркса, д. 43, ТЦ «Детский мир на Карла Маркса», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Псков;ул. Советская, д. 13, ТК «ЦУМ», цокольный этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Гипермаркет
г. Пермь;ул. Революции, д. 13, ТРЦ «Семья», 4 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Гипермаркет
г. Рязань;ул. Соборная, д. 15а, ТЦ «Малина», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Тольятти;ул. Баныкина, д. 74, ТЦ «Аэрохолл», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Ставрополь;ул. Доваторцев, д. 75А, ТЦ «Космос», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Самара;ул. Ново-Садовая, д. 160-М, ТРЦ «Мега Сити», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Самара;ул. Дыбенко, д. 30, ТРК «Космопорт», 2 этаж;;Ежедневно с 10:00 до 23:00.;;Детский мир;Гипермаркет
Ростовская обл., г. Аксай;пр. Аксайский, 23, ТРЦ «МЕГА», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Смоленск;ул. Новоленинградская, д. 11, ТЦ «Александр», 2 и 3 этаж;;Ежедневно с 9:00 до 21:00.;;Детский мир;Флагман
г. Ростов;-на-Дону, пр-т Космонавтов, д. 10, ТЦ «Дом мебели», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Тамбов;ул. Карла Маркса, д. 165-Б, ТЦ «Детский мир»;;Ежедневно с 9:00 до 22:00.;;Детский мир;Гипермаркет
Республика Башкортостан, г. Стерлитамак;ул. Худайбердина, д. 120, ТЦ «Фабри», 4 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Тольятти;ул. Революционная, д. 52А, ТЦ «Русь на Волге», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Тула;ул. Путейская, д. 5, ТЦ «Сарафан», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Саратов;ул. Танкистов, д. 1, ТК «Форум», 1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Томск;пр-т Ленина, д. 121, ТЦ «ЦУМ», -1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Ульяновск;ул. Радищева, д. 39, ТЦ «Энтерра», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Гипермаркет
г. Уфа;ул. Маршала Жукова, д. 29, ТРК «Простор», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Тюмень;ул. Максима Горького, д. 70, ТЦ «Гудвин», 2 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Уфа;пр-т Октября, д. 34, ТЦ «Семья», -1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Ханты;-Мансийск, ул. Энгельса, д. 1, ТДЦ «Гостиный двор», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Уфа;ул. Ленина, д. 65/4, ЦММ «Экватор», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Флагман
г. Ярославль;ул. Победы, д. 6, Дом Моды «Волга», 3 этаж;;Ежедневно с 9:00 до 20:00.;;Детский мир;Супермаркет
г. Челябинск;ул. Салютная, д. 27, ТК «Башня», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Новосибирск;ул. Военная, д. 5, ТРЦ «Аура», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Казань;ул. Петербургская, 9, ТЦ «Республика», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
г. Киров;ул. Горького, д. 5А, ТРЦ «JAM МОЛЛ», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
Вологодская обл., г. Череповец;Ленинградская ул., д. 1, ТЦ «Северо-западный», 3 этаж;;"Понедельник-суббота с 10:00 до 21:00; воскресенье с 10:00 до 20:00";;Детский мир;Супермаркет
г. Старый;Оскол, мкр. Дубрава, квартал 1, д.23, ТЦ «Карусель», 3 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Челябинск;ул. Труда, 203, ТРК «Родник», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Челябинск;ул. Кирова, д. 27, КТК «Набережный», 1 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Флагман
;м. Чертановская, мкр. Северное Чертаново, д. 1А, ТРЦ «Авентура», 3 этаж;;Ежедневно с 10:00 до 22:00.;;Детский мир;Супермаркет
г. Тверь;пр-т Калинина, д.13А, ТРЦ «Рубин», 1 этаж;;Ежедневно с 10:00 до 22:00;;Детский мир;Супермаркет
г. Сыктывкар;Октябрьский проспект, 141, ТРЦ «МАКСИ», 2 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Ульяновск;пр-т Ульяновский, 1, ТЦ «Самолет», цокольный этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
г. Омск;ул. Интернациональная, д. 43, ТЦ «Омский», 1 этаж;;Ежедневно с 10:00 до 21:00.;;Детский мир;Супермаркет
